"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","Aboveground_pool","Litter_pool","Dead_pool","Soil_pool_new","pH","Nperc","P","K","Na","CaMg","Al","bee_rich"
"1","STM",103,1,"103_1","AP",26,38,13,3,22,19,107.0494683,4.90705542,8.083441749,66.34,3.86,0.19,5,31.93333333,15,0.506666667,2.853333333,NA
"2","STM",103,2,"103_2","SFyoung",23,17,21,12,60,22,38.47250797,6.322680011,1.428901631,59.38,4.526666667,0.18,3.2,42.8,18,2.746666667,0.966666667,NA
"3","STM",103,3,"103_3","SFold",35,45,23,7,44,38,78.75858696,4.408595554,9.899871276,63.49,3.846666667,0.19,4.733333333,31.26666667,16.66666667,0.893333333,2.606666667,NA
"4","STM",103,4,"103_4","PA",32,30,11,0,0,0,0,0.66265069,1.027490757,54.09,4.58,0.17,3.466666667,33.26666667,16.53333333,1.806666667,1.246666667,NA
"5","STM",103,5,"103_5","SFyoung",26,37,12,8,31,23,36.78408026,5.444015022,1.531471307,58.66,4.16,0.15,4.266666667,30.33333333,22.13333333,1.593333333,1.353333333,NA
"6","STM",103,7,"103_7","AP",NA,45,16,5,24,31,154.250465,6.354724737,2.527440974,158.43,4.126666667,0.42,3.133333333,18.06666667,7.733333333,0.426666667,3.106666667,NA
"7","STM",103,8,"103_8","SFold",37,50,21,5,59,43,106.4306665,5.274916237,4.577075494,63.29,4.033333333,0.2,2.933333333,40.8,20.2,1.506666667,2.193333333,NA
"8","STM",103,9,"103_9","SFyoung",41,31,11,1,8,0,0.70573043,2.15768,0,59.2,4.86,0.16,4.666666667,64.8,23.8,3.42,0.853333333,NA
"9","STM",112,1,"112_1","MA",10,9,7,0,0,0,0,0,0,45.5,4.886666667,0.15,6.933333333,45.8,14.46666667,2.54,0.646666667,NA
"10","STM",112,11,"112_11","MA",0,8,7,0,0,0,0,0,0,46.42,4.886666667,0.16,6.733333333,72.53333333,22.86666667,2.74,0.6,NA
"11","STM",112,12,"112_12","LF",23,62,20,8,43,60,122.0910718,4.425263227,13.69880118,56.02,3.933333333,0.18,3.866666667,24.13333333,14.4,1.2,1.646666667,NA
"12","STM",112,2,"112_2","FRU",31,44,11,0,6,2,5.410861669,3.53208,0,61.53,4.48,0.16,2.533333333,24.2,12.73333333,2.313333333,1.08,NA
"13","STM",112,3,"112_3","SFold",22,50,18,16,56,37,64.90449501,5.233171076,11.14414826,59.15,4.326666667,0.19,2.333333333,19.93333333,9.466666667,2.246666667,0.926666667,NA
"14","STM",112,4,"112_4","SFyoung",30,36,10,1,16,1,5.884654663,1.58056,13.10279236,63.8,4.806666667,0.2,2.533333333,35.73333333,11.8,3.293333333,0.673333333,NA
"15","STM",112,5,"112_5","PA",14,10,5,0,0,0,0,0,4.28319844,52.51,4.646666667,0.15,2.2,25.8,13.66666667,1.746666667,0.98,NA
"16","STM",112,7,"112_7","PA",16,31,8,0,0,0,0,0,0,58.5,6.4,0.17,14.73333333,103.2666667,47.2,6.626666667,0.093333333,NA
"17","STM",112,8,"112_8","LF",23,44,21,15,70,83,122.3756224,5.581802964,29.73722218,66.85,3.813333333,0.18,5.666666667,27.06666667,17.6,1.026666667,2.26,NA
"18","STM",112,9,"112_9","FRU",32,32,12,0,3,1,5.385899437,1.48572,0,47.74,4.953333333,0.15,2.4,28,12.2,2.506666667,0.793333333,NA
"19","STM",125,10,"125_10","BF",19,46,24,6,50,66,188.5738549,7.09566133,18.99541655,59.59,3.726666667,0.18,4.866666667,32.13333333,23.6,0.726666667,2.246666667,NA
"20","STM",125,12,"125_12","MA",8,6,4,0,0,0,0,2.06332,0,46.85,5.166666667,0.14,8.2,58.33333333,24.4,4.046666667,0.326666667,NA
"21","STM",125,2,"125_2","MA",16,12,8,0,0,0,0,0,0,49.37,4.933333333,0.17,6.266666667,28,13.26666667,3.493333333,0.413333333,NA
"22","STM",125,3,"125_3","PA",30,34,9,0,0,0,0,2.18804,0,58.4,4.36,0.17,3.866666667,32.26666667,23.06666667,1.593333333,1.093333333,NA
"23","STM",125,5,"125_5","SFyoung",22,43,23,10,40,23,39.33808535,6.220889148,2.767789397,52.49,4.433333333,0.18,2.133333333,21.2,10.4,2.14,1.28,NA
"24","STM",125,6,"125_6","SFold",14,25,26,9,62,28,41.49817367,4.986875554,3.240421725,47.65,4.546666667,0.16,2.4,17.73333333,9.866666667,2.506666667,0.92,NA
"25","STM",125,8,"125_8","MA",10,7,7,0,0,0,0,0,0,42.19,4.646666667,0.14,5.066666667,47.73333333,25.93333333,2.926666667,0.593333333,NA
"26","STM",125,9,"125_9","LF",16,39,19,16,77,71,93.68575089,6.991841923,35.71634877,50.13,4.04,0.17,4.4,30.06666667,15.6,1.613333333,1.786666667,NA
"27","STM",129,10,"129_10","LBF",26,32,21,7,46,31,54.76632258,4.403568018,6.529671067,58.35,4.34,0.19,2.933333333,24.93333333,16.33333333,1.966666667,1.226666667,NA
"28","STM",129,11,"129_11","SFold",30,32,23,4,47,27,57.8686274,5.398307611,5.403745137,60.59,4.6,0.16,2.733333333,24.8,20.26666667,2.426666667,1.333333333,NA
"29","STM",129,12,"129_12","MA",6,6,9,0,0,0,0,0,0,53.35,5.08,0.15,5.133333333,51.93333333,20.86666667,3.9,0.4,NA
"30","STM",129,5,"129_5","LBF",22,48,30,17,47,50,71.05444372,5.48533069,11.03133747,41.32,4.073333333,0.14,4,16.26666667,6.933333333,1.14,1.526666667,NA
"31","STM",129,7,"129_7","PA",22,11,14,0,0,0,0,0,0,53.04,5.88,0.12,12.06666667,41.53333333,18.2,5.94,0.113333333,NA
"32","STM",129,8,"129_8","PA",16,21,16,0,0,0,0,0,0,39.82,4.513333333,0.13,3.333333333,24.93333333,13.8,1.413333333,1.006666667,NA
"33","STM",129,9,"129_9","MA",12,10,12,0,0,0,0,2.11668,0,54.66,5.22,0.18,7.6,27.13333333,9.8,3.26,0.64,NA
"34","STM",157,1,"157_1","SFold",32,52,16,14,61,70,155.7970171,6.425861296,81.82427616,51.83,4.086666667,0.17,2.866666667,34.8,15.4,1.26,1.633333333,NA
"35","STM",157,11,"157_11","SHA",19,43,16,0,2,0,0.134089785,5.030815681,6.748740126,53.76,4.866666667,0.16,5.8,58.53333333,26.13333333,3.193333333,0.553333333,NA
"36","STM",157,2,"157_2","LBF",28,41,19,13,88,68,70.31530112,4.577891682,22.3855186,45.84,4.086666667,0.14,2.333333333,30.46666667,14.4,1.893333333,1.393333333,NA
"37","STM",157,3,"157_3","LBF",19,47,20,19,70,79,134.997054,5.076615067,23.52387287,56.12,4.12,0.23,2.2,23.2,11.4,1.566666667,1.633333333,NA
"38","STM",157,4,"157_4","LF",31,53,23,10,52,58,227.3680304,5.844778797,10.48913978,49.7,3.92,0.16,5.2,33.4,29,0.66,1.64,NA
"39","STM",157,5,"157_5","LF",28,47,26,13,94,72,137.8188378,6.191115255,30.49652244,55.57,3.92,0.17,3.466666667,29.93333333,18.4,0.8,2.193333333,NA
"40","STM",157,6,"157_6","LF",26,20,19,18,62,62,188.7960043,8.073065469,5.013260628,59.49,3.72,0.19,2.666666667,23.46666667,15.73333333,0.686666667,2.326666667,NA
