"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","bee_rich"
"1","STM",69,1,"69_1","MA",6,8,3,0,0,0,NA
"2","STM",69,2,"69_2","SFold",31,36,19,7,50,54,NA
"3","STM",69,3,"69_3","PA",18,14,6,0,0,0,NA
"4","STM",69,4,"69_4","PA",40,45,8,0,0,2,NA
"5","STM",69,5,"69_5","SHA",36,26,12,0,1,0,NA
"6","STM",69,6,"69_6","SFyoung",31,41,26,5,45,24,NA
"7","STM",69,7,"69_7","PA",25,22,9,0,0,0,NA
"8","STM",69,8,"69_8","LF",25,60,14,10,52,51,NA
"9","STM",69,9,"69_9","REF",30,16,8,0,2,0,NA
"10","STM",69,10,"69_10","SFold",24,32,13,16,51,46,NA
"11","STM",69,11,"69_11","LBF",28,27,26,16,54,47,NA
"12","STM",81,1,"81_1","FRU",12,20,15,0,0,0,NA
"13","STM",81,2,"81_2","LBF",20,40,20,6,53,43,NA
"14","STM",81,3,"81_3","LBF",18,44,12,16,76,66,NA
"15","STM",81,6,"81_6","MA",9,22,12,0,0,0,NA
"16","STM",81,7,"81_7","SFold",23,32,10,17,50,43,NA
"17","STM",81,8,"81_8","PA",19,24,5,0,0,0,NA
"18","STM",81,9,"81_9","LBF",25,47,17,7,47,63,NA
"19","STM",81,10,"81_10","PA",26,19,9,0,0,0,NA
"20","STM",81,11,"81_11","SFold",22,47,14,14,59,51,NA
"21","STM",81,15,"81_15","LF",13,43,24,8,42,65,NA
"22","STM",99,2,"99_2","FRU",24,21,13,0,0,0,NA
"23","STM",99,3,"99_3","PA",18,31,5,0,3,0,NA
"24","STM",99,4,"99_4","SFyoung",20,14,15,2,36,25,NA
"25","STM",99,5,"99_5","PA",30,27,13,0,0,0,NA
"26","STM",99,6,"99_6","SFold",23,26,18,6,48,38,NA
"27","STM",99,7,"99_7","SFold",20,21,17,4,42,39,NA
"28","STM",99,8,"99_8","SFyoung",21,30,17,8,49,36,NA
"29","STM",99,9,"99_9","PA",27,26,8,0,0,0,NA
"30","STM",99,10,"99_10","SFyoung",20,36,16,14,53,35,NA
"31","STM",99,11,"99_11","SFyoung",35,42,15,0,22,0,NA
"32","STM",103,1,"103_1","AP",26,38,13,3,22,19,NA
"33","STM",103,2,"103_2","SFyoung",23,17,21,12,60,22,NA
"34","STM",103,3,"103_3","SFold",35,45,23,7,44,38,NA
"35","STM",103,4,"103_4","PA",32,30,11,0,0,0,NA
"36","STM",103,5,"103_5","SFyoung",26,37,12,8,31,23,NA
"37","STM",103,8,"103_8","SFold",37,50,21,5,59,43,NA
"38","STM",103,9,"103_9","SFyoung",41,31,11,1,8,0,NA
"39","STM",112,1,"112_1","MA",10,9,7,0,0,0,NA
"40","STM",112,2,"112_2","FRU",31,44,11,0,6,2,NA
"41","STM",112,3,"112_3","SFold",22,50,18,16,56,37,NA
"42","STM",112,4,"112_4","SFyoung",30,36,10,1,16,1,NA
"43","STM",112,5,"112_5","PA",14,10,5,0,0,0,NA
"44","STM",112,7,"112_7","PA",16,31,8,0,0,0,NA
"45","STM",112,8,"112_8","LF",23,44,21,15,70,83,NA
"46","STM",112,9,"112_9","FRU",32,32,12,0,3,1,NA
"47","STM",112,11,"112_11","MA",0,8,7,0,0,0,NA
"48","STM",112,12,"112_12","LF",23,62,20,8,43,60,NA
"49","STM",125,2,"125_2","MA",16,12,8,0,0,0,NA
"50","STM",125,3,"125_3","PA",30,34,9,0,0,0,NA
"51","STM",125,5,"125_5","SFyoung",22,43,23,10,40,23,NA
"52","STM",125,6,"125_6","SFold",14,25,26,9,62,28,NA
"53","STM",125,8,"125_8","MA",10,7,7,0,0,0,NA
"54","STM",125,9,"125_9","LF",16,39,19,16,77,71,NA
"55","STM",125,10,"125_10","BF",19,46,24,6,50,66,NA
"56","STM",125,12,"125_12","MA",8,6,4,0,0,0,NA
"57","STM",129,5,"129_5","LBF",22,48,30,17,47,50,NA
"58","STM",129,7,"129_7","PA",22,11,14,0,0,0,NA
"59","STM",129,8,"129_8","PA",16,21,16,0,0,0,NA
"60","STM",129,9,"129_9","MA",12,10,12,0,0,0,NA
"61","STM",129,10,"129_10","LBF",26,32,21,7,46,31,NA
"62","STM",129,11,"129_11","SFold",30,32,23,4,47,27,NA
"63","STM",129,12,"129_12","MA",6,6,9,0,0,0,NA
"64","STM",157,1,"157_1","SFold",32,52,16,14,61,70,NA
"65","STM",157,2,"157_2","LBF",28,41,19,13,88,68,NA
"66","STM",157,3,"157_3","LBF",19,47,20,19,70,79,NA
"67","STM",157,4,"157_4","LF",31,53,23,10,52,58,NA
"68","STM",157,5,"157_5","LF",28,47,26,13,94,72,NA
"69","STM",157,6,"157_6","LF",26,20,19,18,62,62,NA
"70","STM",157,7,"157_7","PA",33,30,4,0,0,1,NA
"71","STM",157,8,"157_8","SFold",21,55,19,5,50,54,NA
"72","STM",157,11,"157_11","SHA",19,43,16,0,2,0,NA
"73","STM",160,5,"160_5","SFold",19,44,26,4,50,28,NA
"74","STM",160,8,"160_8","SFold",20,48,24,5,33,41,NA
"75","STM",160,10,"160_10","LF",17,38,35,8,31,63,NA
"76","STM",160,11,"160_11","SFold",14,26,22,9,54,31,NA
"77","STM",160,12,"160_12","MA",4,8,6,0,0,0,NA
"78","STM",165,1,"165_1","LBF",20,36,10,10,47,31,NA
"79","STM",165,2,"165_2","BF",29,68,26,6,44,59,NA
"80","STM",165,3,"165_3","BF",22,66,31,13,65,56,NA
"81","STM",165,4,"165_4","LBF",26,48,20,14,48,52,NA
"82","STM",165,5,"165_5","LBF",25,45,15,9,52,55,NA
