"Component","transition","median_es","order"
"biodiversity","PA_MA",0.112778566801513,1
"biodiversity","LF_LBF",0.210626734395677,2
"biodiversity","UF_LF",0.228908400078457,3
"biodiversity","UF_LBF",0.332949887868895,4
"biodiversity","SFyoung_SFold",0.374284398399265,5
"biodiversity","PA_SFyoung",0.656050662205044,6
"biodiversity","SFold_PA",0.963436915792572,7
"biodiversity","MA_SFyoung",1.08931838433687,8
"biodiversity","LBF_PA",1.26422718967979,9
"biodiversity","SFold_MA",1.31576617522211,10
"biodiversity","LF_PA",1.47233263042164,11
"biodiversity","LBF_MA",1.67331437523895,12
"biodiversity","UF_PA",1.78064228500481,13
"biodiversity","LF_MA",1.91928981808001,14
"biodiversity","UF_MA",2.01383782810121,15
"carbon","PA_MA",0.0365052047078603,16
"carbon","LF_LBF",0.128135296301446,17
"carbon","SFyoung_SFold",0.259018943012919,18
"carbon","UF_LBF",0.322282686128007,19
"carbon","UF_LF",0.388790589529523,20
"carbon","PA_SFyoung",0.405003144823831,21
"carbon","MA_SFyoung",0.429554649228413,22
"carbon","SFold_PA",0.777834301069286,23
"carbon","SFold_MA",0.802385805473867,24
"carbon","UF_MA",1.37086408340327,25
"carbon","LBF_PA",1.38939046717142,26
"carbon","UF_PA",1.39128150576584,27
"carbon","LBF_MA",1.413941971576,28
"carbon","LF_MA",1.68416825653456,29
"carbon","LF_PA",1.70458567889713,30
"soil","PA_MA",0.168855567800102,31
"soil","LF_LBF",0.180307372905098,32
"soil","UF_LF",0.213143836661259,33
"soil","SFyoung_SFold",0.271239111218089,34
"soil","UF_LBF",0.393072014924868,35
"soil","PA_SFyoung",0.448850024701168,36
"soil","LBF_PA",0.51742247941762,37
"soil","MA_SFyoung",0.533796188431211,38
"soil","SFold_PA",0.539939654370304,39
"soil","LF_PA",0.697729852322718,40
"soil","LBF_MA",0.792383526729903,41
"soil","UF_PA",0.867397987818211,42
"soil","SFold_MA",0.890958714409171,43
"soil","LF_MA",1.06720680827576,44
"soil","UF_MA",1.36331713881955,45
