"df","Chi.sq","p-value","variable","explanatory"
6,137.497149726472,3.38067359592138e-27,"ant_rich","LU_UF"
1,0.365238381580204,0.545611268026783,"ant_rich","CLAY_ALL"
1,0.00249838295432007,0.960135276453071,"ant_rich","ELEV_MEAN"
1,1.70506358710828,0.191627099519715,"ant_rich","SLOPE_MEAN"
6,489.930613930607,1.24063440210936e-102,"bird_rich","LU_UF"
1,0.0084740439879819,0.926654682454149,"bird_rich","CLAY_ALL"
1,5.4943287738391,0.0190782502440294,"bird_rich","ELEV_MEAN"
1,0.895719067476483,0.343932185932954,"bird_rich","SLOPE_MEAN"
6,327.421464987195,1.08084161817982e-67,"db_rich","LU_UF"
1,0.0030224590328666,0.956156870711558,"db_rich","CLAY_ALL"
1,0.39431646803759,0.530039164607934,"db_rich","ELEV_MEAN"
1,0.834073720289887,0.361097209181544,"db_rich","SLOPE_MEAN"
6,703.583348420685,1.02997636576754e-148,"liana_rich","LU_UF"
1,0.826842040108346,0.363187278404102,"liana_rich","CLAY_ALL"
1,0.00164119270458278,0.967685229948129,"liana_rich","ELEV_MEAN"
1,1.23740168422882,0.26597240085545,"liana_rich","SLOPE_MEAN"
6,3031.79956126186,0,"sap_rich","LU_UF"
1,3.14486828687951,0.076166150053454,"sap_rich","CLAY_ALL"
1,0.00933822219121795,0.923016675736383,"sap_rich","ELEV_MEAN"
1,0.0558248084026612,0.813221037285271,"sap_rich","SLOPE_MEAN"
6,3929.27985065436,0,"tree_rich","LU_UF"
1,1.3305026587325,0.248715813970147,"tree_rich","CLAY_ALL"
1,0.292539559403761,0.588597698283597,"tree_rich","ELEV_MEAN"
1,1.47414455208347,0.224692913523722,"tree_rich","SLOPE_MEAN"
6,49.8138680035616,5.12276735905101e-09,"bee_rich","LU_UF"
1,2.56027921614987,0.109579228472715,"bee_rich","CLAY_ALL"
1,1.66977244352128,0.19628901654564,"bee_rich","ELEV_MEAN"
1,1.63754695914075,0.200662367606966,"bee_rich","SLOPE_MEAN"
6,2168.29743281527,0,"Aboveground_pool","LU_UF"
1,0.231715414646933,0.630254781351445,"Aboveground_pool","CLAY_ALL"
1,0.515298784441482,0.472854005702969,"Aboveground_pool","ELEV_MEAN"
1,5.63098402513752,0.0176457232049614,"Aboveground_pool","SLOPE_MEAN"
6,861.335096136055,8.56508101497703e-183,"Litter_pool","LU_UF"
1,0.919611154031792,0.337577091232141,"Litter_pool","CLAY_ALL"
1,2.45127501081034,0.117429449013528,"Litter_pool","ELEV_MEAN"
1,0.373774395108344,0.540954053439815,"Litter_pool","SLOPE_MEAN"
6,598.036998374083,6.18282157464173e-126,"Dead_pool","LU_UF"
1,2.00639238886637,0.156637412037683,"Dead_pool","CLAY_ALL"
1,7.76394833204652,0.00532993207876281,"Dead_pool","ELEV_MEAN"
1,0.954446457945832,0.328590066303798,"Dead_pool","SLOPE_MEAN"
6,5.40239920882866,0.493330676776102,"Soil_pool_new","LU_UF"
1,86.705029659625,1.25976023393719e-20,"Soil_pool_new","CLAY_ALL"
1,5.73169445312635,0.0166613986804714,"Soil_pool_new","ELEV_MEAN"
1,12.9280942434138,0.000323687155432495,"Soil_pool_new","SLOPE_MEAN"
6,283.697266421773,2.53901225167068e-58,"pH","LU_UF"
1,0.948520497059183,0.330096178162989,"pH","CLAY_ALL"
1,11.4237620025516,0.000725107247247818,"pH","ELEV_MEAN"
1,2.02576284503833,0.154651247459102,"pH","SLOPE_MEAN"
6,26.6225298372859,0.000170385422920169,"Nperc","LU_UF"
1,137.553344476249,9.12585139431765e-32,"Nperc","CLAY_ALL"
1,8.39615168622406,0.00376016201592993,"Nperc","ELEV_MEAN"
1,1.64645035521205,0.199442746092115,"Nperc","SLOPE_MEAN"
6,61.0575264851464,2.7437663661466e-11,"P","LU_UF"
1,2.6390295816263,0.104267215210847,"P","CLAY_ALL"
1,10.6460858881383,0.00110304098908897,"P","ELEV_MEAN"
1,0.00035614829745638,0.984943302697243,"P","SLOPE_MEAN"
6,81.3799036977227,1.85293863578114e-15,"K","LU_UF"
1,24.892014342051,6.06330683830171e-07,"K","CLAY_ALL"
1,2.0273708657721,0.154487657037055,"K","ELEV_MEAN"
1,1.56529229807803,0.210892005422448,"K","SLOPE_MEAN"
6,16.7072533814173,0.0104215389135783,"Na","LU_UF"
1,12.873929642232,0.000333191236826167,"Na","CLAY_ALL"
1,2.16921811563205,0.140797805018087,"Na","ELEV_MEAN"
1,0.593196392532964,0.441185748562486,"Na","SLOPE_MEAN"
6,149.487130615564,9.93159986573833e-30,"CaMg","LU_UF"
1,11.2009160781567,0.000817569603823088,"CaMg","CLAY_ALL"
1,12.5450950178085,0.000397247666625697,"CaMg","ELEV_MEAN"
1,4.8305860024773,0.02795912593274,"CaMg","SLOPE_MEAN"
6,225.943460901768,5.61821785818482e-46,"Al","LU_UF"
1,28.7425013231781,8.26693944085777e-08,"Al","CLAY_ALL"
1,14.0510833100591,0.000177911319027755,"Al","ELEV_MEAN"
1,9.28924457749592,0.00230503195996235,"Al","SLOPE_MEAN"
